Month,Borough,Major Category,Minor Category,Count
201701,Greenwich,Burglary,Burglary In A Dwelling,94
201701,Greenwich,Burglary,Burglary In Other Buildings,106
201701,Greenwich,Criminal Damage,Criminal Damage To Dwelling,51
201701,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,127
201701,Greenwich,Criminal Damage,Criminal Damage To Other Building,25
201701,Greenwich,Criminal Damage,Other Criminal Damage,72
201701,Greenwich,Drugs,Drug Trafficking,3
201701,Greenwich,Drugs,Other Drugs,1
201701,Greenwich,Drugs,Possession Of Drugs,70
201701,Greenwich,Fraud & Forgery,Other Fraud & Forgery,5
201701,Greenwich,Other Notifiable Offences,Going Equipped,1
201701,Greenwich,Other Notifiable Offences,Other Notifiable,40
201701,Greenwich,Robbery,Business Property,6
201701,Greenwich,Robbery,Personal Property,28
201701,Greenwich,Sexual Offences,Other Sexual,25
201701,Greenwich,Sexual Offences,Rape,15
201701,Greenwich,Theft & Handling,Handling Stolen Goods,2
201701,Greenwich,Theft & Handling,Motor Vehicle Interference & Tampering,69
201701,Greenwich,Theft & Handling,Other Theft,235
201701,Greenwich,Theft & Handling,Theft From Motor Vehicle,155
201701,Greenwich,Theft & Handling,Theft From Shops,138
201701,Greenwich,Theft & Handling,Theft Person,38
201701,Greenwich,Theft & Handling,Theft/Taking Of Motor Vehicle,75
201701,Greenwich,Theft & Handling,Theft/Taking Of Pedal Cycle,23
201701,Greenwich,Violence Against The Person,Assault With Injury,129
201701,Greenwich,Violence Against The Person,Common Assault,183
201701,Greenwich,Violence Against The Person,Harassment,258
201701,Greenwich,Violence Against The Person,Murder,2
201701,Greenwich,Violence Against The Person,Offensive Weapon,14
201701,Greenwich,Violence Against The Person,Other Violence,28
201701,Greenwich,Violence Against The Person,Wounding/GBH,69
201701,Hackney,Burglary,Burglary In A Dwelling,125
201701,Hackney,Burglary,Burglary In Other Buildings,120
201701,Hackney,Criminal Damage,Criminal Damage To Dwelling,31
201701,Hackney,Criminal Damage,Criminal Damage To Motor Vehicle,47
201701,Hackney,Criminal Damage,Criminal Damage To Other Building,20
201701,Hackney,Criminal Damage,Other Criminal Damage,43
201701,Hackney,Drugs,Drug Trafficking,9
201701,Hackney,Drugs,Possession Of Drugs,67
201701,Hackney,Fraud & Forgery,Other Fraud & Forgery,3
201701,Hackney,Other Notifiable Offences,Going Equipped,1
201701,Hackney,Other Notifiable Offences,Other Notifiable,43
201701,Hackney,Robbery,Business Property,9
201701,Hackney,Robbery,Personal Property,112
201701,Hackney,Sexual Offences,Other Sexual,40
201701,Hackney,Sexual Offences,Rape,16
201701,Hackney,Theft & Handling,Handling Stolen Goods,5
201701,Hackney,Theft & Handling,Motor Vehicle Interference & Tampering,36
201701,Hackney,Theft & Handling,Other Theft,290
201701,Hackney,Theft & Handling,Theft From Motor Vehicle,139
201701,Hackney,Theft & Handling,Theft From Shops,81
201701,Hackney,Theft & Handling,Theft Person,262
